Province_State,date,cases,normalized_cases,days_after_quarantine,rank_on_sah,rank_latest,normalized_rank_on_sah,normalized_rank_latest,population,persons_per_misq
Alabama,4/23/20,5832,1188,,26,23,30,27,4908621,97
Alabama,4/22/20,5593,1139,,26,23,30,27,4908621,97
Alabama,4/21/20,5317,1083,,26,23,30,27,4908621,97
Alabama,4/20/20,5079,1035,,26,23,30,27,4908621,97
Alabama,4/19/20,4888,996,,26,23,30,27,4908621,97
Alabama,4/18/20,4712,960,14,26,23,30,27,4908621,97
Alabama,4/17/20,4571,931,13,26,23,30,27,4908621,97
Alabama,4/16/20,4345,885,12,26,23,30,27,4908621,97
Alabama,4/15/20,4075,830,11,26,23,30,27,4908621,97
Alabama,4/14/20,3953,805,10,26,23,30,27,4908621,97
Alabama,4/13/20,3734,761,9,26,23,30,27,4908621,97
Alabama,4/12/20,3563,726,8,26,23,30,27,4908621,97
Alabama,4/11/20,3217,655,7,26,23,30,27,4908621,97
Alabama,4/10/20,2947,600,6,26,23,30,27,4908621,97
Alabama,4/9/20,2703,551,5,26,23,30,27,4908621,97
Alabama,4/8/20,2328,474,4,26,23,30,27,4908621,97
Alabama,4/7/20,2169,442,3,26,23,30,27,4908621,97
Alabama,4/6/20,1952,398,2,26,23,30,27,4908621,97
Alabama,4/5/20,1765,360,1,26,23,30,27,4908621,97
Alabama,4/4/20,1614,329,0,26,23,30,27,4908621,97
Alabama,4/3/20,1495,305,-1,26,23,30,27,4908621,97
Alabama,4/2/20,1233,251,-2,26,23,30,27,4908621,97
Alabama,4/1/20,1060,216,-3,26,23,30,27,4908621,97
Alabama,3/31/20,987,201,-4,26,23,30,27,4908621,97
Alabama,3/30/20,899,183,-5,26,23,30,27,4908621,97
Alabama,3/29/20,825,168,-6,26,23,30,27,4908621,97
Alabama,3/28/20,694,141,-7,26,23,30,27,4908621,97
Alabama,3/27/20,587,120,-8,26,23,30,27,4908621,97
Alabama,3/26/20,517,105,-9,26,23,30,27,4908621,97
Alabama,3/25/20,381,78,-10,26,23,30,27,4908621,97
Alabama,3/24/20,242,49,-11,26,23,30,27,4908621,97
Alabama,3/23/20,196,40,-12,26,23,30,27,4908621,97
Alabama,3/22/20,157,32,-13,26,23,30,27,4908621,97
Alabama,3/21/20,131,27,-14,26,23,30,27,4908621,97
Alabama,3/20/20,106,22,,26,23,30,27,4908621,97
Alabama,3/19/20,78,16,,26,23,30,27,4908621,97
Alabama,3/18/20,51,10,,26,23,30,27,4908621,97
Alabama,3/17/20,39,8,,26,23,30,27,4908621,97
Alabama,3/16/20,29,6,,26,23,30,27,4908621,97
Alabama,3/15/20,11,2,,26,23,30,27,4908621,97
Alabama,3/14/20,7,1,,26,23,30,27,4908621,97
Alabama,3/13/20,5,1,,26,23,30,27,4908621,97
Alabama,3/12/20,0,0,,26,23,30,27,4908621,97
Alabama,3/11/20,0,0,,26,23,30,27,4908621,97
Alabama,3/10/20,0,0,,26,23,30,27,4908621,97
Alabama,3/9/20,0,0,,26,23,30,27,4908621,97
Alabama,3/8/20,0,0,,26,23,30,27,4908621,97
Alabama,3/7/20,0,0,,26,23,30,27,4908621,97
Alabama,3/6/20,0,0,,26,23,30,27,4908621,97
Alabama,3/5/20,0,0,,26,23,30,27,4908621,97
Alabama,3/4/20,0,0,,26,23,30,27,4908621,97
Alabama,3/3/20,0,0,,26,23,30,27,4908621,97
Alabama,3/2/20,0,0,,26,23,30,27,4908621,97
Alabama,3/1/20,0,0,,26,23,30,27,4908621,97
Alabama,2/29/20,0,0,,26,23,30,27,4908621,97
Alabama,2/28/20,0,0,,26,23,30,27,4908621,97
Alabama,2/27/20,0,0,,26,23,30,27,4908621,97
Alabama,2/26/20,0,0,,26,23,30,27,4908621,97
Alabama,2/25/20,0,0,,26,23,30,27,4908621,97
Alabama,2/24/20,0,0,,26,23,30,27,4908621,97
Alabama,2/23/20,0,0,,26,23,30,27,4908621,97
Alabama,2/22/20,0,0,,26,23,30,27,4908621,97
Alabama,2/21/20,0,0,,26,23,30,27,4908621,97
Alabama,2/20/20,0,0,,26,23,30,27,4908621,97
Alabama,2/19/20,0,0,,26,23,30,27,4908621,97
